"","coords.x1","coords.x2",""
"329",389795.5,288638.5,106.620002746582
"330",389809.5,288556.5,105.699996948242
"331",389777.5,288626.5,107.930000305176
"332",389775.5,288613.5,107.419998168945
"333",389799.5,288557.5,106.309997558594
"334",389778.5,288531.5,108.620002746582
"335",389808.5,288597.5,105.080001831055
"336",389769.5,288628.5,107.910003662109
"337",389775.5,288633.5,108.26000213623
"338",389767.5,288566.5,108.680000305176
"339",389803.5,288557.5,105.980003356934
"340",389765.5,288596.5,107.639999389648
"341",389795.5,288530.5,106.959999084473
"342",389773.5,288577.5,108.949996948242
"343",389803.5,288585.5,106.23999786377
"344",389795.5,288571.5,107.040000915527
"345",389778.5,288567.5,107.209999084473
"346",389806.5,288621.5,106.76000213623
"347",389807.5,288566.5,105.610000610352
"348",389805.5,288584.5,105.599998474121
"349",389803.5,288529.5,106.360000610352
"350",389765.5,288594.5,107.690002441406
"351",389804.5,288533.5,106.269996643066
"352",389803.5,288602.5,105.480003356934
"353",389800.5,288630.5,106.690002441406
"354",389760.5,288557.5,108.720001220703
"355",389771.5,288581.5,109.069999694824
"356",389779.5,288516.5,109.059997558594
"357",389805.5,288627.5,108.129997253418
"358",389772.5,288551.5,107.669998168945
"359",389797.5,288570.5,106.73999786377
"360",389778.5,288517.5,109.01000213623
"361",389779.5,288629.5,109.040000915527
"362",389775.5,288621.5,107.26000213623
"363",389765.5,288593.5,107.73999786377
"364",389811.5,288596.5,104.830001831055
"365",389782.5,288530.5,108.830001831055
"366",389793.5,288518.5,107.220001220703
"367",389785.5,288641.5,107.300003051758
"368",389777.5,288573.5,107.269996643066
"369",389761.5,288531.5,109.430000305176
"370",389811.5,288610.5,104.970001220703
"371",389781.5,288635.5,109.580001831055
"372",389765.5,288553.5,108.660003662109
"373",389807.5,288558.5,105.76000213623
"374",389800.5,288602.5,105.639999389648
"375",389807.5,288541.5,106
"376",389801.5,288613.5,106.959999084473
"377",389773.5,288549.5,107.389999389648
"378",389780.5,288636.5,109.569999694824
"379",389776.5,288567.5,107.180000305176
"380",389767.5,288551.5,108.870002746582
"381",389789.5,288629.5,106.779998779297
"382",389767.5,288628.5,108.669998168945
"383",389776.5,288523.5,108.160003662109
"384",389806.5,288598.5,105.199996948242
"385",389779.5,288628.5,109.019996643066
"386",389771.5,288557.5,108.75
"387",389808.5,288577.5,105.430000305176
"388",389770.5,288584.5,108.830001831055
"389",389775.5,288575.5,107.879997253418
"390",389765.5,288595.5,107.699996948242
"391",389799.5,288603.5,105.519996643066
"392",389766.5,288597.5,107.599998474121
"393",389775.5,288574.5,107.76000213623
"394",389779.5,288594.5,107.330001831055
"395",389770.5,288541.5,107.830001831055
"396",389803.5,288614.5,107.040000915527
"397",389789.5,288635.5,107.050003051758
"398",389808.5,288633.5,106.980003356934
"399",389769.5,288566.5,109.120002746582
"400",389766.5,288574.5,108.449996948242
"401",389793.5,288636.5,106.699996948242
"402",389781.5,288593.5,107.019996643066
"403",389776.5,288518.5,108.319999694824
"404",389782.5,288519.5,108.360000610352
"405",389763.5,288607.5,107.51000213623
"406",389771.5,288564.5,108.940002441406
"407",389798.5,288580.5,106.779998779297
"408",389765.5,288549.5,108.970001220703
"409",389814.5,288611.5,105.059997558594
"410",389785.5,288522.5,108.01000213623
